Var_ALX,Var_ALY,Var_ALZ,Var_ARX,Var_ARY,Var_ARZ,RMS_EMGL,RMS_EMGR,FFT_GYL,FFT_GYR,STD_ORL,STD_OPL,STD_OYL,STD_ORR,STD_OPR,STD_OYR
5.64954253759868e-06,2.49099048094856e-05,2.40183823705489e-05,0.0245459677223173,0.000872809214852395,0.00162339273379503,0.494860806921226,0.494673004548518,8.79077367935427,10.0172994895852,0.00123909861547905,0.0040155466971542,0.00175177271263959,0.0313464547509038,0.2711479366246,0.463846318862959
1.0558617947244e-05,1.58875322955639e-05,2.83356100301854e-05,0.0214302120139035,0.000909988520184341,0.00123926006516474,0.494797130452794,0.500030832550923,8.76581309348232,10.1849006368088,0.00374731150613749,0.00364624643228264,0.0038416203716987,0.0295340298203365,0.261882431954433,0.431774356952904
3.80641490107646e-06,1.21287571884915e-05,1.24956111895734e-05,0.021672792053287,0.000711917925699545,0.00167939489766945,0.494746836757233,0.495923485501658,8.76842520276178,10.26933511164,0.00161072734667855,0.00237373778108417,0.00143669305020753,0.0377751669112376,0.260732585579292,0.406345083443883
7.90538563217461e-06,1.2427001287736e-05,2.27307952996056e-05,0.0251421904401549,0.000676385698264273,0.00183653274769004,0.495357087826176,0.4983105074375,8.78774817581002,10.0363755032048,0.00260029585770633,0.00262364323791693,0.00243441407697104,0.0339722330304032,0.270169548741059,0.340560785459459
2.25230215844515e-05,2.85097243697807e-05,0.000134523221503825,0.0203864326312203,0.000785766691015782,0.00166660678956828,0.494936628003249,0.497193254156584,8.79824317528127,10.241185430681,0.00865677860498853,0.00492330585764422,0.00800403980798149,0.0336629443475495,0.245714629561669,0.0316154218437407
6.36169072827507e-05,7.38854468362135e-05,9.0428284096801e-05,0.0352943393102075,0.00197644504587469,0.00382166550051306,0.494815189888898,0.497999791571721,8.68490624159952,10.1429746955131,0.00694596607049748,0.00701610080991111,0.00468975969640959,0.0363046421145437,0.332311967423978,0.0751647771211204
3.46398408475932e-05,3.70732664451468e-05,5.81948425770815e-05,0.0347032232677509,0.00143808020142387,0.00287379127949036,0.49487753233399,0.494525179170471,8.75805937991668,9.98015856816863,0.00566173323494971,0.00658060429217348,0.00419792533626192,0.0325547542901485,0.332610638046455,0.0732012943130449
5.20838555429298e-05,5.87507635637975e-05,8.16164121389591e-05,0.0395291722181882,0.00234110364442232,0.00322171159631653,0.494721648287367,0.496632930776656,8.67904727192882,9.95734162009546,0.00877508443364845,0.0073064681047859,0.00658785796554075,0.0364320732409705,0.351315891218632,0.0813967413113419
5.42748382581569e-05,5.37476415059041e-05,9.73194319673045e-05,0.0362288434243116,0.00152291721651077,0.00455130118509112,0.495028878894111,0.493933997048754,8.65964447770327,9.91853795016546,0.00727992150805266,0.00647858628869025,0.00503458316487035,0.0391214852775906,0.347260469626457,0.0816320192664828
4.24193170490261e-05,5.51489962891075e-05,4.79407784242311e-05,0.0335054546910254,0.00152736934270616,0.0042749836360767,0.494663399597391,0.500835335471819,8.76652347612832,10.0042599191095,0.00455705728554278,0.00507780061899483,0.00441314062392173,0.0365619512878793,0.342447747111881,0.0808403498898255
8.47634936621126e-05,9.83304958302867e-05,6.26050556059424e-05,0.0378879733957728,0.0021982999130201,0.00391855852586629,0.495270754266847,0.499908788622537,8.7394429712077,10.0267519387583,0.00833233204302341,0.00787244659055045,0.00724329316240532,0.0362597179014067,0.340677217792852,0.076639307427267
